PCN,ISSUED,LOCATION,Unnamed: 3,FINE,Total Paid,Balance
356,6,0,60,87,0,0
360,6,0,60,6,0,60
361,6,0,60,6,0,60
362,6,0,60,6,0,60
363,6,0,60,6,0,60
366,6,0,60,6,0,60
369,6,0,60,6,0,60
370,6,0,60,6,0,60
371,6,0,60,6,0,60
372,6,0,60,6,0,60
374,6,0,60,6,0,60
375,6,0,60,6,0,60
378,6,0,60,6,0,60
379,6,0,60,6,0,60
380,6,0,60,6,0,60
381,6,0,60,6,0,60
382,6,0,60,6,0,60
388,6,0,60,6,0,0
389,6,0,60,6,0,60
392,6,0,60,6,0,60
393,6,0,60,6,0,60
395,6,0,60,6,0,60
405,6,0,60,6,0,60
406,6,0,60,6,0,60
408,6,0,60,6,0,60
410,6,0,60,6,0,60
411,6,0,60,6,0,60
412,6,0,60,6,0,60
413,6,0,60,6,0,60
415,6,0,60,55,60,0
418,6,0,60,6,0,60
419,6,0,60,6,0,60
421,6,0,60,6,0,60
423,6,2,60,6,30,0
423,6,2,60,66,30,0
440,6,18,60,28,0,0
449,6,16,60,78,30,0
449,6,16,60,81,30,0
450,6,16,60,6,0,0
450,6,16,60,63,0,0
450,6,16,60,81,0,0
450,6,16,60,28,0,0
450,6,16,60,34,0,0
450,6,16,60,5,0,0
450,6,16,60,23,0,0
454,6,8,60,6,30,0
454,6,8,60,7,30,0
454,6,8,60,10,30,0
456,6,8,60,90,30,0
456,6,8,60,7,30,0
457,6,8,60,86,0,98
512,6,19,60,6,0,60
540,6,13,60,66,30,0
541,6,13,60,6,30,0
541,6,13,60,7,30,0
559,6,0,60,6,0,60
47,6,5,60,57,30,0
54,6,4,60,6,30,0
54,6,4,60,78,30,0
55,6,4,60,6,98,0
55,6,4,60,40,98,0
55,6,4,60,20,98,0
57,6,4,60,6,30,0
58,6,4,60,6,30,0
59,6,4,60,60,60,0
60,6,4,60,57,30,0
61,6,4,60,90,0,60
61,6,4,60,7,0,60
70,6,22,60,6,30,0
70,6,22,60,60,30,0
71,6,22,60,52,30,0
73,6,22,60,6,90,0
73,6,22,60,40,90,0
73,6,22,60,82,90,0
82,6,15,60,48,30,0
83,6,15,60,6,30,0
83,6,15,60,7,30,0
84,6,15,60,78,30,0
95,6,18,60,6,30,0
109,6,16,60,6,30,0
109,6,16,60,75,30,0
110,6,16,60,6,0,60
111,6,16,60,6,30,0
156,6,8,60,6,0,0
157,6,8,60,90,30,0
158,6,8,60,6,30,0
158,6,8,60,87,30,0
160,6,8,60,6,30,0
160,6,8,60,10,30,0
161,6,8,60,57,30,0
162,6,8,60,48,30,0
163,6,8,60,87,30,0
165,6,8,60,6,30,0
166,6,8,60,6,30,0
168,6,8,60,6,30,0
170,6,8,60,54,30,0
171,6,8,60,63,30,0
171,6,8,60,66,30,0
172,6,8,60,57,30,0
173,6,8,60,6,0,98
173,6,8,60,40,0,98
173,6,8,60,20,0,98
174,6,8,60,6,30,0
175,6,8,60,6,30,0
175,6,8,60,34,30,0
176,6,8,60,6,0,98
176,6,8,60,20,0,98
177,6,8,60,61,0,60
177,6,8,60,86,0,60
180,6,8,60,6,30,0
180,6,8,60,63,30,0
218,6,20,60,66,0,0
219,6,20,60,6,0,98
219,6,20,60,55,0,98
220,6,20,60,60,30,0
221,6,20,60,66,30,0
222,6,20,60,6,30,0
222,6,20,60,69,30,0
223,6,20,60,6,30,0
224,6,20,60,90,30,0
225,6,20,60,2,90,0
226,6,20,60,6,30,0
226,6,20,60,55,30,0
227,6,20,60,6,0,0
227,6,20,60,84,0,0
228,6,20,60,13,30,0
229,6,20,60,86,0,98
230,6,20,60,6,30,0
233,6,19,60,6,30,0
233,6,19,60,63,30,0
234,6,19,60,66,30,0
235,6,19,60,55,60,0
236,6,19,60,6,0,0
236,6,19,60,40,0,0
237,6,19,60,6,30,0
237,6,19,60,87,30,0
241,6,17,60,7,30,0
242,6,17,60,6,30,0
242,6,17,60,70,30,0
